mouse_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Combined_1Per Formalin_2107.0M_L1_acA2040-120um__23670847__20230707_131221586DLC_resnet50_LUPE_MALEDec5shuffle1_350000,294,216,0,108,0,648,1278,893,163,0,768,1128,1344,1859,355,522,0,48,0,60,0,30,12,1362,0,0,24,0,0,0,71,31
Combined_1Per Formalin_2107.1M_L2_acA2040-120um__23701274__20230707_131339359DLC_resnet50_LUPE_MALEDec5shuffle1_350000,372,497,1765,60,60,72,132,48,78,0,0,150,0,90,2231,2095,108,48,12,156,126,785,1464,1489,281,223,450,228,713,2755,1565,289
Combined_1Per Formalin_2107.2M_L3_acA2040-120um__23701299__20230707_130157080DLC_resnet50_LUPE_MALEDec5shuffle1_350000,288,204,36,0,738,1470,54,156,162,144,1146,54,132,2406,390,30,822,180,162,210,107,1135,773,565,60,18,198,1043,505,1097,445,72
Combined_1Per Formalin_2107.3M_L4_acA2040-120um__23670846__20230707_130523712DLC_resnet50_LUPE_MALEDec5shuffle1_350000,90,222,0,0,0,0,1266,24,0,24,0,0,540,498,0,18,623,103,0,306,0,36,258,953,2137,498,0,0,54,174,132,84
Combined_1Per Formalin_2107.4M_L1_acA2040-120um__23670847__20230707_135124289DLC_resnet50_LUPE_MALEDec5shuffle1_350000,492,600,48,198,630,1176,1680,192,1206,2052,450,180,780,30,396,486,1433,2640,2245,348,174,108,839,205,1913,3102,1489,138,330,816,1356,36
Combined_1Per Formalin_2108.0F_L2__acA2040-120um__23701274__20230707_135900313DLC_resnet50_LUPE_MALEDec5shuffle1_350000,384,330,714,12,102,102,1481,451,174,138,60,174,114,102,162,12,300,150,198,1901,499,30,288,353,1764,2862,1512,481,78,282,312,0
Combined_1Per Formalin_2108.1F_L3_acA2040-120um__23701299__20230707_134035525DLC_resnet50_LUPE_MALEDec5shuffle1_350000,389,433,36,48,48,180,251,589,24,18,210,378,168,30,84,90,60,0,240,54,24,144,120,60,480,1002,1391,475,294,1752,1332,125
Combined_1Per Formalin_2108.2F_L4_acA2040-120um__23670846__20230707_134352759DLC_resnet50_LUPE_MALEDec5shuffle1_350000,162,330,156,281,853,36,816,396,749,565,432,522,1181,793,96,593,493,384,810,342,432,672,396,2082,785,181,522,24,1536,222,270,144
Combined_1Per Formalin_2108.3F_L1_acA2040-120um__23670847__20230707_142905078DLC_resnet50_LUPE_MALEDec5shuffle1_350000,618,504,72,84,924,756,54,185,517,288,1031,811,1686,720,72,156,120,216,252,90,360,246,276,120,210,1014,204,366,947,1351,1008,456
Combined_1Per Formalin_2108.4F_L2_acA2040-120um__23701274__20230707_143648805DLC_resnet50_LUPE_MALEDec5shuffle1_350000,144,312,36,186,792,401,349,348,336,282,300,330,156,455,571,126,450,462,299,534,319,714,330,491,409,792,299,1057,552,1194,618,59
