mouse_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Combined_1Per Formalin_2107.0M_L1_acA2040-120um__23670847__20230707_131221586DLC_resnet50_LUPE_MALEDec5shuffle1_350000,48,48,72,228,252,126,420,276,593,277,419,529,341,781,330,365,379,408,624,846,288,426,287,457,78,276,168,246,282,90,132,192
Combined_1Per Formalin_2107.1M_L2_acA2040-120um__23701274__20230707_131339359DLC_resnet50_LUPE_MALEDec5shuffle1_350000,234,54,480,425,319,995,619,570,546,150,246,492,239,402,277,486,582,390,347,313,528,222,684,918,648,312,396,804,312,102,834,612
Combined_1Per Formalin_2107.2M_L3_acA2040-120um__23701299__20230707_130157080DLC_resnet50_LUPE_MALEDec5shuffle1_350000,96,161,199,0,695,763,600,588,1247,858,799,1157,991,870,1602,1098,1235,1944,1614,1116,1123,1193,1393,1314,1164,851,1291,768,2393,1903,1157,247
Combined_1Per Formalin_2107.3M_L4_acA2040-120um__23670846__20230707_130523712DLC_resnet50_LUPE_MALEDec5shuffle1_350000,234,120,312,714,270,600,276,564,660,624,24,618,672,971,1686,661,888,1188,138,198,810,708,1085,1447,330,744,1116,1379,1333,1176,683,415
Combined_1Per Formalin_2107.4M_L1_acA2040-120um__23670847__20230707_135124289DLC_resnet50_LUPE_MALEDec5shuffle1_350000,270,414,450,1338,1163,1123,719,1057,1242,1367,1266,1818,925,1212,1662,1392,426,804,521,1686,1320,1044,1879,1686,1296,498,222,1302,1764,1499,1464,229
Combined_1Per Formalin_2108.0F_L2__acA2040-120um__23701274__20230707_135900313DLC_resnet50_LUPE_MALEDec5shuffle1_350000,90,156,498,426,503,445,516,287,367,749,733,726,138,348,438,324,234,276,246,306,551,763,780,792,396,738,648,228,527,733,900,120
Combined_1Per Formalin_2108.1F_L3_acA2040-120um__23701299__20230707_134035525DLC_resnet50_LUPE_MALEDec5shuffle1_350000,36,185,493,252,390,468,318,294,906,570,869,1201,948,1170,228,1146,929,1026,666,1339,1181,1122,1483,900,575,876,865,534,390,1529,265,30
Combined_1Per Formalin_2108.2F_L4_acA2040-120um__23670846__20230707_134352759DLC_resnet50_LUPE_MALEDec5shuffle1_350000,180,564,792,1302,900,1487,1572,1465,684,942,1158,1223,1291,1374,1289,931,1698,936,1752,1643,1609,1092,1152,335,1135,906,1475,828,1326,1549,1584,372
Combined_1Per Formalin_2108.3F_L1_acA2040-120um__23670847__20230707_142905078DLC_resnet50_LUPE_MALEDec5shuffle1_350000,258,180,282,342,222,312,522,696,906,557,343,486,504,690,1175,1135,1026,864,666,618,936,960,720,558,102,126,204,300,12,264,12,0
Combined_1Per Formalin_2108.4F_L2_acA2040-120um__23701274__20230707_143648805DLC_resnet50_LUPE_MALEDec5shuffle1_350000,66,126,246,234,462,420,516,792,552,443,1027,984,642,306,828,516,480,318,720,828,419,619,467,883,594,737,613,527,625,342,300,132
