mouse_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Combined_1Per Formalin_2107.0M_L1_acA2040-120um__23670847__20230707_131221586DLC_resnet50_LUPE_MALEDec5shuffle1_350000,2460,966,1236,1019,1693,1469,661,1056,1344,1158,564,1152,618,210,1368,354,1452,1158,1241,967,1271,1081,1650,156,1176,1116,785,1447,1524,876,1188,47
Combined_1Per Formalin_2107.1M_L2_acA2040-120um__23701274__20230707_131339359DLC_resnet50_LUPE_MALEDec5shuffle1_350000,1577,1399,905,1801,2028,1710,1691,1531,1535,1591,1505,1153,1470,1674,630,504,1955,1248,1513,1128,1386,906,186,419,1903,1644,1404,1188,744,0,444,0
Combined_1Per Formalin_2107.2M_L3_acA2040-120um__23701299__20230707_130157080DLC_resnet50_LUPE_MALEDec5shuffle1_350000,2448,1950,1656,1536,1062,827,1381,887,739,1206,636,726,1211,97,852,840,774,882,972,1236,1392,810,330,767,1069,1758,1583,835,432,264,702,395
Combined_1Per Formalin_2107.3M_L4_acA2040-120um__23670846__20230707_130523712DLC_resnet50_LUPE_MALEDec5shuffle1_350000,2717,1296,2226,1003,1764,1590,1002,1367,1200,1188,1411,1536,899,703,660,1308,606,1103,1291,582,1092,1428,486,264,600,1067,942,697,911,757,912,120
Combined_1Per Formalin_2107.4M_L1_acA2040-120um__23670847__20230707_135124289DLC_resnet50_LUPE_MALEDec5shuffle1_350000,1727,1633,1133,1164,643,671,727,1169,505,162,996,834,630,1709,817,420,1146,96,576,846,1104,1302,534,773,271,0,653,1284,858,781,408,311
Combined_1Per Formalin_2108.0F_L2__acA2040-120um__23701274__20230707_135900313DLC_resnet50_LUPE_MALEDec5shuffle1_350000,2556,1127,1638,2412,1579,1650,1242,1560,1032,1866,1985,1345,1464,1925,2262,1645,1482,1619,1279,618,1584,1571,1656,1645,324,0,966,2394,1938,1565,1759,461
Combined_1Per Formalin_2108.1F_L3_acA2040-120um__23701299__20230707_134035525DLC_resnet50_LUPE_MALEDec5shuffle1_350000,2772,1680,2507,2341,1470,1955,2149,1704,1799,2142,1741,1217,1603,1074,2099,1044,1567,1236,1524,1248,1386,1212,1002,1626,1188,732,780,1662,1583,163,984,426
Combined_1Per Formalin_2108.2F_L4_acA2040-120um__23670846__20230707_134352759DLC_resnet50_LUPE_MALEDec5shuffle1_350000,3041,2316,1890,1393,1380,1458,732,1200,1266,1331,1416,1477,360,1026,1506,1536,1176,1535,816,1195,1187,1434,1393,618,1182,1661,1255,1560,636,1392,1289,193
Combined_1Per Formalin_2108.3F_L1_acA2040-120um__23670847__20230707_142905078DLC_resnet50_LUPE_MALEDec5shuffle1_350000,1596,1499,1969,2010,1338,1391,1314,1963,1439,2203,1410,1332,599,1158,1387,1751,1633,1182,1608,2093,1326,1639,1877,1758,1717,1181,1249,1140,486,899,763,0
Combined_1Per Formalin_2108.4F_L2_acA2040-120um__23701274__20230707_143648805DLC_resnet50_LUPE_MALEDec5shuffle1_350000,1835,2070,2383,2183,1615,1542,1835,1381,1559,1693,1283,1441,1614,1740,1578,1902,1589,2022,1417,1464,1494,1470,1554,1494,1169,1015,1386,1002,1554,539,1735,450
