Group,Condition,File,Behavior,Count
Combined,Control,1_2087.0_M_L1_acA2040-120um__23670847__20230707_095944991DLC_resnet50_LUPE_MALEDec5shuffle1_350000,still,273.0
Combined,Control,1_2087.0_M_L1_acA2040-120um__23670847__20230707_095944991DLC_resnet50_LUPE_MALEDec5shuffle1_350000,walking,641.0
Combined,Control,1_2087.0_M_L1_acA2040-120um__23670847__20230707_095944991DLC_resnet50_LUPE_MALEDec5shuffle1_350000,rearing,698.0
Combined,Control,1_2087.0_M_L1_acA2040-120um__23670847__20230707_095944991DLC_resnet50_LUPE_MALEDec5shuffle1_350000,grooming,344.0
Combined,Control,1_2087.0_M_L1_acA2040-120um__23670847__20230707_095944991DLC_resnet50_LUPE_MALEDec5shuffle1_350000,licking hindpaw L,
Combined,Control,1_2087.0_M_L1_acA2040-120um__23670847__20230707_095944991DLC_resnet50_LUPE_MALEDec5shuffle1_350000,licking hindpaw R,2.0
Combined,Control,1_2087.1_M_L2_acA2040-120um__23701274__20230707_100309909DLC_resnet50_LUPE_MALEDec5shuffle1_350000,still,476.0
Combined,Control,1_2087.1_M_L2_acA2040-120um__23701274__20230707_100309909DLC_resnet50_LUPE_MALEDec5shuffle1_350000,walking,517.0
Combined,Control,1_2087.1_M_L2_acA2040-120um__23701274__20230707_100309909DLC_resnet50_LUPE_MALEDec5shuffle1_350000,rearing,435.0
Combined,Control,1_2087.1_M_L2_acA2040-120um__23701274__20230707_100309909DLC_resnet50_LUPE_MALEDec5shuffle1_350000,grooming,207.0
Combined,Control,1_2087.1_M_L2_acA2040-120um__23701274__20230707_100309909DLC_resnet50_LUPE_MALEDec5shuffle1_350000,licking hindpaw L,
Combined,Control,1_2087.1_M_L2_acA2040-120um__23701274__20230707_100309909DLC_resnet50_LUPE_MALEDec5shuffle1_350000,licking hindpaw R,7.0
Combined,Control,1_2087.2M_L3_acA2040-120um__23701299__20230707_100312702DLC_resnet50_LUPE_MALEDec5shuffle1_350000,still,700.0
Combined,Control,1_2087.2M_L3_acA2040-120um__23701299__20230707_100312702DLC_resnet50_LUPE_MALEDec5shuffle1_350000,walking,750.0
Combined,Control,1_2087.2M_L3_acA2040-120um__23701299__20230707_100312702DLC_resnet50_LUPE_MALEDec5shuffle1_350000,rearing,342.0
Combined,Control,1_2087.2M_L3_acA2040-120um__23701299__20230707_100312702DLC_resnet50_LUPE_MALEDec5shuffle1_350000,grooming,90.0
Combined,Control,1_2087.2M_L3_acA2040-120um__23701299__20230707_100312702DLC_resnet50_LUPE_MALEDec5shuffle1_350000,licking hindpaw L,18.0
Combined,Control,1_2087.2M_L3_acA2040-120um__23701299__20230707_100312702DLC_resnet50_LUPE_MALEDec5shuffle1_350000,licking hindpaw R,1.0
