,still,walking,rearing,grooming,licking hindpaw L,licking hindpaw R
2107.0M_L1_acA2040-120um__23670847__20230707_131221586DLC_resnet50_LUPE_MALEDec5shuffle1_350000,577,583,151,79,26,
2107.1M_L2_acA2040-120um__23701274__20230707_131339359DLC_resnet50_LUPE_MALEDec5shuffle1_350000,570,622,225,151,33,2.0
2107.2M_L3_acA2040-120um__23701299__20230707_130157080DLC_resnet50_LUPE_MALEDec5shuffle1_350000,561,620,385,225,15,2.0
2107.3M_L4_acA2040-120um__23670846__20230707_130523712DLC_resnet50_LUPE_MALEDec5shuffle1_350000,585,590,236,85,31,1.0
2107.4M_L1_acA2040-120um__23670847__20230707_135124289DLC_resnet50_LUPE_MALEDec5shuffle1_350000,369,466,398,270,25,1.0
2108.0F_L2__acA2040-120um__23701274__20230707_135900313DLC_resnet50_LUPE_MALEDec5shuffle1_350000,571,703,283,187,40,2.0
2108.1F_L3_acA2040-120um__23701299__20230707_134035525DLC_resnet50_LUPE_MALEDec5shuffle1_350000,605,685,302,171,23,1.0
2108.2F_L4_acA2040-120um__23670846__20230707_134352759DLC_resnet50_LUPE_MALEDec5shuffle1_350000,436,668,591,376,20,6.0
2108.3F_L1_acA2040-120um__23670847__20230707_142905078DLC_resnet50_LUPE_MALEDec5shuffle1_350000,659,728,274,240,74,
2108.4F_L2_acA2040-120um__23701274__20230707_143648805DLC_resnet50_LUPE_MALEDec5shuffle1_350000,635,787,353,326,91,
