,still,walking,rearing,grooming,licking hindpaw L,licking hindpaw R
1_2087.0_M_L1_acA2040-120um__23670847__20230707_095944991DLC_resnet50_LUPE_MALEDec5shuffle1_350000,273,641,698,344,,2.0
1_2087.1_M_L2_acA2040-120um__23701274__20230707_100309909DLC_resnet50_LUPE_MALEDec5shuffle1_350000,476,517,435,207,,7.0
1_2087.2M_L3_acA2040-120um__23701299__20230707_100312702DLC_resnet50_LUPE_MALEDec5shuffle1_350000,700,750,342,90,18.0,1.0
1_2087.3M_L4_acA2040-120um__23670846__20230707_100419646DLC_resnet50_LUPE_MALEDec5shuffle1_350000,636,716,138,49,2.0,1.0
1_2087.4_M_L1_acA2040-120um__23670847__20230707_103354822DLC_resnet50_LUPE_MALEDec5shuffle1_350000,421,585,413,159,1.0,1.0
1_2089.0F_L3_acA2040-120um__23701299__20230707_111115126DLC_resnet50_LUPE_MALEDec5shuffle1_350000,414,631,532,211,3.0,
1_2089.1F_L4_acA2040-120um__23670846__20230707_111227636DLC_resnet50_LUPE_MALEDec5shuffle1_350000,496,682,580,343,,5.0
1_2089.2_F_L1_acA2040-120um__23670847__20230707_114240542DLC_resnet50_LUPE_MALEDec5shuffle1_350000,288,623,704,482,1.0,
1_2089.3_F_L2_acA2040-120um__23701274__20230707_114526740DLC_resnet50_LUPE_MALEDec5shuffle1_350000,537,713,517,241,1.0,2.0
1_2089.4F_L3_acA2040-120um__23701299__20230707_114519272DLC_resnet50_LUPE_MALEDec5shuffle1_350000,566,627,330,210,19.0,
