behavior,duration
still,0.2
still,0.2
still,0.6
still,0.4
still,0.8
still,0.7
still,0.8
still,0.3
still,0.3
still,1.2
still,0.7
still,0.2
still,0.3
still,0.2
still,0.8
still,1.0
still,1.0
still,0.3
still,0.2
still,0.4
still,1.3
still,0.3
still,0.8
still,0.2
still,0.5
still,0.2
still,0.3
still,1.3
still,2.2
still,0.3
still,0.8
still,0.6
still,0.8
still,0.2
still,1.6
still,1.0
still,1.0
still,0.3
still,0.2
still,1.4
still,0.6
still,0.3
still,0.4
still,0.5
still,0.2
still,0.2
still,0.6
still,0.2
still,0.2
still,0.5
still,0.3
still,0.3
still,0.2
still,0.3
still,1.0
still,0.2
still,0.2
still,0.2
still,0.6
still,0.2
still,0.3
still,0.3
still,0.8
still,1.3
still,0.2
still,0.7
still,0.3
still,0.6
still,0.2
still,0.5
still,0.2
still,1.8
still,0.4
still,0.2
still,0.3
still,0.8
still,0.2
still,1.1
still,0.2
still,0.2
still,0.4
still,0.2
still,0.2
still,0.2
still,2.0
still,0.6
still,0.2
still,0.4
still,0.3
still,0.2
still,0.8
still,0.4
still,0.6
still,0.2
still,0.3
still,0.8
still,0.2
still,0.6
still,0.5
still,0.3
still,0.6
still,0.5
still,0.5
still,0.3
still,0.2
still,0.3
still,0.4
still,0.3
still,0.6
still,0.6
still,0.2
still,1.3
still,0.3
still,0.6
still,0.8
still,0.4
still,1.3
still,0.6
still,1.6
still,0.2
still,0.8
still,0.3
still,0.4
still,1.8
still,0.5
still,0.7
still,0.7
still,1.0
still,0.2
still,0.3
still,0.5
still,1.0
still,0.6
still,0.6
still,0.4
still,0.2
still,0.2
still,1.0
still,0.6
still,0.2
still,0.3
still,0.2
still,0.5
still,0.2
still,0.2
still,0.3
still,0.8
still,0.2
still,0.5
still,0.2
still,0.3
still,0.5
still,0.7
still,0.3
still,0.2
still,1.1
still,0.8
still,0.5
still,0.7
still,0.2
still,0.3
still,0.7
still,0.7
still,0.3
still,0.4
still,0.7
still,0.9
still,0.4
still,3.4
still,0.4
still,0.3
still,0.3
still,0.4
still,0.3
still,1.1
still,0.2
still,0.2
still,0.6
still,0.8
still,0.2
still,0.2
still,0.2
still,0.2
still,0.2
still,0.2
still,0.3
still,0.5
still,0.2
still,0.4
still,1.0
still,0.8
still,0.3
still,0.5
still,0.2
still,0.2
still,0.4
still,0.2
still,0.3
still,0.2
still,0.4
still,0.2
still,0.4
still,0.4
still,0.4
still,0.8
still,0.3
still,0.2
still,0.2
still,0.2
still,0.3
still,0.3
still,0.3
still,0.7
still,0.2
still,0.5
still,0.2
still,0.6
still,0.4
still,0.2
still,0.4
still,0.7
still,0.2
still,0.3
still,0.5
still,0.3
still,0.2
still,0.6
still,0.3
still,0.7
still,0.2
still,1.3
still,0.9
still,1.4
