Condition,Behavior,Bin,BinCenter,Probability
1Per Formalin,still,0,1.115753400144873,0.14724919093851133
1Per Formalin,still,1,3.347260200434619,0.77148507731032
1Per Formalin,still,2,5.5787670007243655,0.05339805825242718
1Per Formalin,still,3,7.810273801014111,0.015102481121898598
1Per Formalin,still,4,10.041780601303858,0.0066522833513124775
1Per Formalin,still,5,12.273287401593603,0.002876663070837828
1Per Formalin,still,6,14.50479420188335,0.0016181229773462784
1Per Formalin,still,7,16.736301002173093,0.0005393743257820927
1Per Formalin,still,8,18.967807802462843,0.0008989572096368213
1Per Formalin,still,9,21.199314602752587,0.00017979144192736425
1Per Formalin,walking,0,1.115753400144873,0.025919602669563866
1Per Formalin,walking,1,3.347260200434619,0.28449480055874593
1Per Formalin,walking,2,5.5787670007243655,0.26757721558280306
1Per Formalin,walking,3,7.810273801014111,0.23591494645351543
1Per Formalin,walking,4,10.041780601303858,0.12137203166226913
1Per Formalin,walking,5,12.273287401593603,0.04407884525841999
1Per Formalin,walking,6,14.50479420188335,0.011795747322675772
1Per Formalin,walking,7,16.736301002173093,0.005277044854881266
1Per Formalin,walking,8,18.967807802462843,0.002017693620984014
1Per Formalin,walking,9,21.199314602752587,0.0015520720161415489
1Per Formalin,rearing,0,1.115753400144873,0.046620775969962454
1Per Formalin,rearing,1,3.347260200434619,0.7841051314142679
1Per Formalin,rearing,2,5.5787670007243655,0.12640801001251564
1Per Formalin,rearing,3,7.810273801014111,0.028473091364205255
1Per Formalin,rearing,4,10.041780601303858,0.008448060075093867
1Per Formalin,rearing,5,12.273287401593603,0.0031289111389236545
1Per Formalin,rearing,6,14.50479420188335,0.0018773466833541927
1Per Formalin,rearing,7,16.736301002173093,0.00031289111389236547
1Per Formalin,rearing,8,18.967807802462843,0.0006257822277847309
1Per Formalin,rearing,9,21.199314602752587,0.0
1Per Formalin,grooming,0,1.115753400144873,0.0345489443378119
1Per Formalin,grooming,1,3.347260200434619,0.7523992322456814
1Per Formalin,grooming,2,5.5787670007243655,0.12907869481765835
1Per Formalin,grooming,3,7.810273801014111,0.04894433781190019
1Per Formalin,grooming,4,10.041780601303858,0.016314779270633396
1Per Formalin,grooming,5,12.273287401593603,0.005758157389635317
1Per Formalin,grooming,6,14.50479420188335,0.004318618042226488
1Per Formalin,grooming,7,16.736301002173093,0.0028790786948176585
1Per Formalin,grooming,8,18.967807802462843,0.0033589251439539347
1Per Formalin,grooming,9,21.199314602752587,0.0023992322456813818
1Per Formalin,licking hindpaw L,0,1.115753400144873,0.0
1Per Formalin,licking hindpaw L,1,3.347260200434619,0.22284122562674094
1Per Formalin,licking hindpaw L,2,5.5787670007243655,0.4735376044568245
1Per Formalin,licking hindpaw L,3,7.810273801014111,0.1532033426183844
1Per Formalin,licking hindpaw L,4,10.041780601303858,0.03899721448467967
1Per Formalin,licking hindpaw L,5,12.273287401593603,0.04456824512534819
1Per Formalin,licking hindpaw L,6,14.50479420188335,0.027855153203342618
1Per Formalin,licking hindpaw L,7,16.736301002173093,0.016713091922005572
1Per Formalin,licking hindpaw L,8,18.967807802462843,0.008356545961002786
1Per Formalin,licking hindpaw L,9,21.199314602752587,0.013927576601671309
1Per Formalin,licking hindpaw R,0,1.115753400144873,0.06666666666666667
1Per Formalin,licking hindpaw R,1,3.347260200434619,0.8666666666666667
1Per Formalin,licking hindpaw R,2,5.5787670007243655,0.06666666666666667
1Per Formalin,licking hindpaw R,3,7.810273801014111,0.0
1Per Formalin,licking hindpaw R,4,10.041780601303858,0.0
1Per Formalin,licking hindpaw R,5,12.273287401593603,0.0
1Per Formalin,licking hindpaw R,6,14.50479420188335,0.0
1Per Formalin,licking hindpaw R,7,16.736301002173093,0.0
1Per Formalin,licking hindpaw R,8,18.967807802462843,0.0
1Per Formalin,licking hindpaw R,9,21.199314602752587,0.0
