Group,Condition,Time Group,Behavior,Behavior Label,Fraction Time,Bouts per Minute,Mean Bout Duration (s)
Combined,1Per Formalin,0-10 min,1,walking,0.4709090909090909,23.272727272727273,1.2140625
Combined,1Per Formalin,0-10 min,3,grooming,0.0996969696969697,5.181818181818182,1.1543859649122805
Combined,1Per Formalin,0-10 min,4,licking hindpaw L,0.051666666666666666,2.909090909090909,1.065625
Combined,1Per Formalin,0-10 min,0,still,0.25727272727272726,18.636363636363637,0.8282926829268292
Combined,1Per Formalin,0-10 min,2,rearing,0.12045454545454545,7.909090909090909,0.9137931034482759
Combined,1Per Formalin,11-30 min,1,walking,0.398859649122807,21.68421052631579,1.1036407766990293
Combined,1Per Formalin,11-30 min,2,rearing,0.1343859649122807,9.210526315789474,0.8754285714285714
Combined,1Per Formalin,11-30 min,0,still,0.2943859649122807,18.263157894736842,0.9671469740634006
Combined,1Per Formalin,11-30 min,3,grooming,0.16464912280701754,6.368421052631579,1.5512396694214876
Combined,1Per Formalin,11-30 min,5,licking hindpaw R,0.0017543859649122807,0.10526315789473684,1.0
Combined,1Per Formalin,11-30 min,4,licking hindpaw L,0.0059649122807017545,0.42105263157894735,0.85
