Group,Condition,Time Group,Behavior,Fraction Time,Bouts per Minute,Mean Bout Duration (s)
Combined,1Per Formalin,0-10 min,3,0.12712121212121213,7.363636363636363,1.0358024691358023
Combined,1Per Formalin,0-10 min,1,0.4578787878787879,23.272727272727273,1.18046875
Combined,1Per Formalin,0-10 min,4,0.04575757575757576,2.4545454545454546,1.1185185185185185
Combined,1Per Formalin,0-10 min,0,0.25257575757575756,21.181818181818183,0.7154506437768241
Combined,1Per Formalin,0-10 min,2,0.11666666666666667,8.0,0.875
Combined,1Per Formalin,11-30 min,3,0.13473684210526315,7.842105263157895,1.0308724832214766
Combined,1Per Formalin,11-30 min,2,0.16587719298245615,9.736842105263158,1.0221621621621622
Combined,1Per Formalin,11-30 min,0,0.27166666666666667,21.42105263157895,0.760933660933661
Combined,1Per Formalin,11-30 min,1,0.38035087719298244,24.05263157894737,0.9487964989059081
Combined,1Per Formalin,11-30 min,4,0.04736842105263158,2.0526315789473686,1.3846153846153846
