Group,Condition,Time Group,Behavior,Fraction Time,Bouts per Minute,Mean Bout Duration (s)
Combined,5Per Formalin,0-10 min,3,0.12348484848484849,4.454545454545454,1.663265306122449
Combined,5Per Formalin,0-10 min,1,0.3659090909090909,19.09090909090909,1.15
Combined,5Per Formalin,0-10 min,0,0.33181818181818185,19.545454545454547,1.0186046511627906
Combined,5Per Formalin,0-10 min,4,0.09681818181818182,4.7272727272727275,1.2288461538461537
Combined,5Per Formalin,0-10 min,2,0.08196969696969697,4.454545454545454,1.1040816326530611
Combined,5Per Formalin,11-30 min,0,0.3580701754385965,20.0,1.0742105263157893
Combined,5Per Formalin,11-30 min,1,0.3273684210526316,21.57894736842105,0.9102439024390244
Combined,5Per Formalin,11-30 min,2,0.15859649122807018,8.526315789473685,1.1160493827160494
Combined,5Per Formalin,11-30 min,4,0.09368421052631579,1.9473684210526316,2.8864864864864868
Combined,5Per Formalin,11-30 min,3,0.062280701754385964,3.8947368421052633,0.9594594594594594
