Group,Condition,Time Group,Behavior,Fraction Time,Bouts per Minute,Mean Bout Duration (s)
Combined,5Per Formalin,0-10 min,0,0.22075757575757576,17.727272727272727,0.7471794871794871
Combined,5Per Formalin,0-10 min,1,0.43333333333333335,20.818181818181817,1.2489082969432315
Combined,5Per Formalin,0-10 min,2,0.17757575757575758,10.181818181818182,1.0464285714285715
Combined,5Per Formalin,0-10 min,3,0.11848484848484848,6.909090909090909,1.0289473684210526
Combined,5Per Formalin,0-10 min,4,0.04984848484848485,1.7272727272727273,1.731578947368421
Combined,5Per Formalin,11-30 min,3,0.1667543859649123,10.0,1.0005263157894737
Combined,5Per Formalin,11-30 min,1,0.30666666666666664,21.894736842105264,0.8403846153846153
Combined,5Per Formalin,11-30 min,0,0.14649122807017545,14.421052631578947,0.6094890510948905
Combined,5Per Formalin,11-30 min,2,0.3404385964912281,17.57894736842105,1.1619760479041916
Combined,5Per Formalin,11-30 min,4,0.039649122807017545,1.2105263157894737,1.9652173913043478
