Group,Condition,Time Group,Behavior,Behavior Label,Fraction Time,Bouts per Minute,Mean Bout Duration (s)
Combined,Control,0-10 min,1,walking,0.4028787878787879,19.545454545454547,1.2367441860465116
Combined,Control,0-10 min,2,rearing,0.2512121212121212,10.818181818181818,1.3932773109243697
Combined,Control,0-10 min,0,still,0.27545454545454545,14.909090909090908,1.1085365853658538
Combined,Control,0-10 min,3,grooming,0.07045454545454545,4.090909090909091,1.0333333333333334
Combined,Control,11-30 min,1,walking,0.3223684210526316,19.210526315789473,1.0068493150684932
Combined,Control,11-30 min,0,still,0.18570175438596492,13.157894736842104,0.8468
Combined,Control,11-30 min,2,rearing,0.3880701754385965,14.526315789473685,1.6028985507246378
Combined,Control,11-30 min,3,grooming,0.10245614035087719,5.368421052631579,1.1450980392156862
Combined,Control,11-30 min,4,licking hindpaw L,0.0005263157894736842,0.05263157894736842,0.6
Combined,Control,11-30 min,5,licking hindpaw R,0.0008771929824561404,0.05263157894736842,1.0
