Group,Condition,Time Group,Behavior,Behavior Label,Fraction Time,Bouts per Minute,Mean Bout Duration (s)
Combined,Control,0-10 min,1,walking,0.42893939393939395,23.90909090909091,1.076425855513308
Combined,Control,0-10 min,2,rearing,0.31833333333333336,17.272727272727273,1.1057894736842107
Combined,Control,0-10 min,0,still,0.19318181818181818,15.454545454545455,0.75
Combined,Control,0-10 min,3,grooming,0.05954545454545455,4.909090909090909,0.7277777777777777
Combined,Control,11-30 min,0,still,0.23359649122807016,18.31578947368421,0.7652298850574712
Combined,Control,11-30 min,1,walking,0.33850877192982454,22.31578947368421,0.9101415094339623
Combined,Control,11-30 min,3,grooming,0.12421052631578948,8.947368421052632,0.8329411764705882
Combined,Control,11-30 min,2,rearing,0.30271929824561405,15.894736842105264,1.1427152317880795
Combined,Control,11-30 min,5,licking hindpaw R,0.0007894736842105263,0.10526315789473684,0.45
Combined,Control,11-30 min,4,licking hindpaw L,0.00017543859649122806,0.05263157894736842,0.2
