Time Group,Behavior,Fraction Time (mean),Fraction Time (std),Bouts per Minute (mean),Bouts per Minute (std),Mean Bout Duration (mean),Mean Bout Duration (std)
0-10 min,0,0.2666414141414141,0.09911526454567676,17.254545454545454,3.1540119520317953,0.9239259885060718,0.30827107677173277
0-10 min,1,0.42706060606060603,0.08126592518933055,20.81818181818182,2.823384821872426,1.2297766177015048,0.16753351638821837
0-10 min,2,0.16838383838383833,0.09811326358160018,8.915151515151514,4.749041590601003,1.1182501255230446,0.18065077416239614
0-10 min,3,0.09898484848484844,0.05378840345896255,5.033333333333333,2.262293710322764,1.295543401566545,0.6329786445918358
0-10 min,4,0.0529752066115702,0.022243654173235525,2.3801652892561984,1.3474176516325673,1.478083347685427,0.6438008620353324
0-10 min,5,0.0008080808080807668,0.0007474064942903161,0.1818181818181818,0.15745916432444337,0.25833333333333336,0.0520416499866533
11-30 min,0,0.28324853801169586,0.11941624240706615,17.37543859649123,4.394347947480849,0.9548838251027582,0.32030108179540906
11-30 min,1,0.3271812865497076,0.07166527914346384,20.659649122807018,3.229725502091786,0.9467305409719914,0.10664972343159713
11-30 min,2,0.2254005847953216,0.1292500874463052,11.608771929824561,6.3450725161450015,1.1504563949153486,0.21256958599031917
11-30 min,3,0.13370467836257305,0.054730082819689066,7.110526315789474,4.140117986416109,1.3502623427031843,0.6100091112327832
11-30 min,4,0.033690958164642314,0.03314265799624825,0.9595141700404858,0.9173377948576418,1.92718255297811,1.1295069116377903
11-30 min,5,0.002110136452241672,0.0024838974512769933,0.13450292397660815,0.09758735694092116,0.8955291005291005,1.0284284725182746
