frame,behavior,behavior_label
1,2,rearing
2,2,rearing
3,2,rearing
4,2,rearing
5,2,rearing
6,2,rearing
7,2,rearing
8,2,rearing
9,2,rearing
10,2,rearing
11,2,rearing
12,2,rearing
13,2,rearing
14,2,rearing
15,2,rearing
16,2,rearing
17,2,rearing
18,2,rearing
19,2,rearing
20,2,rearing
21,2,rearing
22,2,rearing
23,2,rearing
24,2,rearing
25,2,rearing
26,2,rearing
27,2,rearing
28,2,rearing
29,2,rearing
30,2,rearing
31,2,rearing
32,2,rearing
33,2,rearing
34,2,rearing
35,2,rearing
36,2,rearing
37,2,rearing
38,2,rearing
39,2,rearing
40,2,rearing
41,2,rearing
42,2,rearing
43,2,rearing
44,2,rearing
45,2,rearing
46,2,rearing
47,2,rearing
48,2,rearing
49,2,rearing
50,2,rearing
51,2,rearing
52,2,rearing
53,2,rearing
54,2,rearing
55,2,rearing
56,2,rearing
57,2,rearing
58,2,rearing
59,2,rearing
60,2,rearing
61,2,rearing
62,2,rearing
63,2,rearing
64,2,rearing
65,2,rearing
66,2,rearing
67,2,rearing
68,2,rearing
69,2,rearing
70,2,rearing
71,2,rearing
72,2,rearing
73,2,rearing
74,2,rearing
75,2,rearing
76,2,rearing
77,2,rearing
78,2,rearing
79,2,rearing
80,2,rearing
81,2,rearing
82,2,rearing
83,2,rearing
84,2,rearing
85,2,rearing
86,2,rearing
87,2,rearing
88,2,rearing
89,2,rearing
90,2,rearing
91,1,walking
92,1,walking
93,1,walking
94,1,walking
95,1,walking
96,1,walking
97,1,walking
98,1,walking
99,1,walking
100,1,walking
101,1,walking
102,1,walking
103,1,walking
104,1,walking
105,1,walking
106,1,walking
107,1,walking
108,1,walking
109,1,walking
110,1,walking
111,1,walking
112,1,walking
113,1,walking
114,1,walking
115,1,walking
116,1,walking
117,1,walking
118,1,walking
119,1,walking
120,1,walking
121,1,walking
122,1,walking
123,1,walking
124,1,walking
125,1,walking
126,1,walking
127,1,walking
128,1,walking
129,1,walking
130,1,walking
131,1,walking
132,1,walking
133,2,rearing
134,2,rearing
135,2,rearing
136,2,rearing
137,2,rearing
138,2,rearing
139,2,rearing
140,2,rearing
141,2,rearing
142,2,rearing
143,2,rearing
144,2,rearing
145,2,rearing
146,2,rearing
147,2,rearing
148,2,rearing
149,2,rearing
150,2,rearing
151,2,rearing
152,2,rearing
153,2,rearing
154,2,rearing
155,2,rearing
156,2,rearing
157,2,rearing
158,2,rearing
159,2,rearing
160,2,rearing
161,2,rearing
162,2,rearing
163,2,rearing
164,2,rearing
165,2,rearing
166,2,rearing
167,2,rearing
168,2,rearing
169,2,rearing
170,2,rearing
171,2,rearing
172,2,rearing
173,2,rearing
174,2,rearing
175,2,rearing
176,2,rearing
177,2,rearing
178,2,rearing
179,2,rearing
180,2,rearing
181,2,rearing
182,2,rearing
183,2,rearing
184,2,rearing
185,2,rearing
186,2,rearing
187,3,grooming
188,3,grooming
189,3,grooming
190,3,grooming
191,3,grooming
192,3,grooming
193,3,grooming
194,3,grooming
195,3,grooming
196,3,grooming
197,3,grooming
198,3,grooming
199,3,grooming
200,3,grooming
201,3,grooming
202,3,grooming
203,3,grooming
204,3,grooming
205,1,walking
206,1,walking
207,1,walking
208,1,walking
209,1,walking
210,1,walking
211,1,walking
212,1,walking
213,1,walking
214,1,walking
215,1,walking
216,1,walking
217,1,walking
218,1,walking
219,1,walking
220,1,walking
