PC1,PC2,Animal,Condition
0.5027506328784902,-0.0499095226147747,Female_Group1_0mgkg_3_2089.0F_L3_acA2040-120um__23701299__20230726_124215243DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group1_0mgkg
0.4271012732417107,-0.03668068187319669,Female_Group1_0mgkg_3_2089.1F_L4_acA2040-120um__23670846__20230726_124402448DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group1_0mgkg
0.4216144877887572,-0.058775357697328924,Female_Group1_0mgkg_3_2089.2F_L1_acA2040-120um__23670847__20230726_131521683DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group1_0mgkg
0.44489355438451567,-0.08151388176166262,Female_Group1_0mgkg_3_2089.3F_L2_acA2040-120um__23701274__20230726_131827101DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group1_0mgkg
0.15206962943963015,-0.03785988048715717,Female_Group1_0mgkg_3_2089.3F_L3_acA2040-120um__23701299__20230726_132020252DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group1_0mgkg
0.2430234572184356,-0.10235276887293521,Female_Group1_0mgkg_3_2090.1F_L1_acA2040-120um__23670847__20230726_135222763DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group1_0mgkg
0.46716302432779977,-0.173879757978661,Female_Group1_0mgkg_3_2090.2F_L2_acA2040-120um__23701274__20230726_135540080DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group1_0mgkg
0.3027055512035026,-0.027166540862552557,Female_Group1_0mgkg_3_2090.3F_L3_acA2040-120um__23701299__20230726_135721147DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group1_0mgkg
0.3410092534819428,-0.1414794592085324,Female_Group1_0mgkg_3_2090.4F_L4_acA2040-120um__23670846__20230726_135906051DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group1_0mgkg
0.41858322352053773,-0.11889659119001798,Female_Group2_0.5mgkg_3_2093.0F_L3_acA2040-120um__23701299__20230727_120813953DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group2_0.5mgkg
0.2530127361945658,-0.1317084653603996,Female_Group2_0.5mgkg_3_2093.1F_L4_acA2040-120um__23670846__20230727_120925685DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group2_0.5mgkg
0.3845507528828872,-0.06805670630149284,Female_Group2_0.5mgkg_3_2093.2_F_L1_acA2040-120um__23670847__20230727_124057710DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group2_0.5mgkg
0.4609382187920823,-0.26516016957122196,Female_Group2_0.5mgkg_3_2093.3_F_L2_acA2040-120um__23701274__20230727_124438565DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group2_0.5mgkg
0.2869389740884045,-0.16767727870676843,Female_Group2_0.5mgkg_3_2093.4F_L3_acA2040-120um__23701299__20230727_124546676DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group2_0.5mgkg
0.5105506922662593,-0.08879699015235178,Female_Group2_0.5mgkg_3_2094.0F_L4_acA2040-120um__23670846__20230727_124726076DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group2_0.5mgkg
0.5135885394204243,-0.18745183744782634,Female_Group2_0.5mgkg_3_2094.1_F_L1_acA2040-120um__23670847__20230727_131848577DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv,Group2_0.5mgkg
