State 1,State 2,State 3,State 4,State 5,State 6,Condition,Animal
419,684,519,340,26,3,Group1_0mgkg,Female_Group1_0mgkg_3_2089.0F_L3_acA2040-120um__23701299__20230726_124215243DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
490,667,369,284,74,3,Group1_0mgkg,Female_Group1_0mgkg_3_2089.1F_L4_acA2040-120um__23670846__20230726_124402448DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
478,623,501,308,41,0,Group1_0mgkg,Female_Group1_0mgkg_3_2089.2F_L1_acA2040-120um__23670847__20230726_131521683DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
553,712,475,303,30,3,Group1_0mgkg,Female_Group1_0mgkg_3_2089.3F_L2_acA2040-120um__23701274__20230726_131827101DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
513,507,143,170,90,12,Group1_0mgkg,Female_Group1_0mgkg_3_2089.3F_L3_acA2040-120um__23701299__20230726_132020252DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
692,745,313,196,39,2,Group1_0mgkg,Female_Group1_0mgkg_3_2090.1F_L1_acA2040-120um__23670847__20230726_135222763DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
551,755,351,272,21,1,Group1_0mgkg,Female_Group1_0mgkg_3_2090.2F_L2_acA2040-120um__23701274__20230726_135540080DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
561,563,262,209,24,4,Group1_0mgkg,Female_Group1_0mgkg_3_2090.3F_L3_acA2040-120um__23701299__20230726_135721147DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
553,603,178,147,38,15,Group1_0mgkg,Female_Group1_0mgkg_3_2090.4F_L4_acA2040-120um__23670846__20230726_135906051DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
573,626,174,140,47,9,Group2_0.5mgkg,Female_Group2_0.5mgkg_3_2093.0F_L3_acA2040-120um__23701299__20230727_120813953DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
580,635,109,119,67,10,Group2_0.5mgkg,Female_Group2_0.5mgkg_3_2093.1F_L4_acA2040-120um__23670846__20230727_120925685DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
530,626,212,180,15,53,Group2_0.5mgkg,Female_Group2_0.5mgkg_3_2093.2_F_L1_acA2040-120um__23670847__20230727_124057710DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
596,760,222,77,34,3,Group2_0.5mgkg,Female_Group2_0.5mgkg_3_2093.3_F_L2_acA2040-120um__23701274__20230727_124438565DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
674,712,166,82,19,6,Group2_0.5mgkg,Female_Group2_0.5mgkg_3_2093.4F_L3_acA2040-120um__23701299__20230727_124546676DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
440,605,252,180,70,6,Group2_0.5mgkg,Female_Group2_0.5mgkg_3_2094.0F_L4_acA2040-120um__23670846__20230727_124726076DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
519,726,324,182,37,4,Group2_0.5mgkg,Female_Group2_0.5mgkg_3_2094.1_F_L1_acA2040-120um__23670847__20230727_131848577DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
466,556,278,272,62,8,Group2_0.5mgkg,Female_Group2_0.5mgkg_3_2094.2_F_L2_acA2040-120um__23701274__20230727_132250261DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
581,695,180,115,38,16,Group2_0.5mgkg,Female_Group2_0.5mgkg_3_2094.3F_L3_acA2040-120um__23701299__20230727_132355459DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
459,605,305,172,27,8,Group2_0.5mgkg,Female_Group2_0.5mgkg_3_2094.4F_L4_acA2040-120um__23670846__20230727_132532821DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
576,622,155,115,22,8,Group3_1.0mgkg,Female_Group3_1.0mgkg_3_2097.0F_L3_acA2040-120um__23701299__20230727_151257408DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
568,600,88,81,61,4,Group3_1.0mgkg,Female_Group3_1.0mgkg_3_2097.1F_L4_acA2040-120um__23670846__20230727_151417984DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
520,643,337,197,31,8,Group3_1.0mgkg,Female_Group3_1.0mgkg_3_2097.2_F_L1_acA2040-120um__23670847__20230727_154557912DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
591,636,210,141,55,0,Group3_1.0mgkg,Female_Group3_1.0mgkg_3_2097.3_F_L2_acA2040-120um__23701274__20230727_154937725DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
484,583,226,124,46,1,Group3_1.0mgkg,Female_Group3_1.0mgkg_3_2097.4F_L3_acA2040-120um__23701299__20230727_155048324DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
389,616,494,350,66,7,Group3_1.0mgkg,Female_Group3_1.0mgkg_3_2098.0F_L4_acA2040-120um__23670846__20230727_155216835DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
490,567,343,202,40,0,Group3_1.0mgkg,Female_Group3_1.0mgkg_3_2098.1_F_L1_acA2040-120um__23670847__20230727_162300682DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
675,743,92,89,33,7,Group3_1.0mgkg,Female_Group3_1.0mgkg_3_2098.2_F_L2_acA2040-120um__23701274__20230727_162631080DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
559,617,216,174,60,9,Group3_1.0mgkg,Female_Group3_1.0mgkg_3_2098.3F_L3_acA2040-120um__23701299__20230727_162713513DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
491,476,145,99,22,6,Group3_1.0mgkg,Female_Group3_1.0mgkg_3_2098.4_L4_acA2040-120um__23670846__20230727_162833146DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
39,100,20,54,10,0,Group4_5mgkg,Female_Group4_5mgkg_3_2101.0F_L3_acA2040-120um__23701299__20230728_120753007DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
539,650,88,91,23,4,Group4_5mgkg,Female_Group4_5mgkg_3_2101.1F_L4_acA2040-120um__23670846__20230728_120924235DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
492,618,126,107,61,5,Group4_5mgkg,Female_Group4_5mgkg_3_2101.2_F_L1_acA2040-120um__23670847__20230728_123910637DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
409,583,123,119,47,1,Group4_5mgkg,Female_Group4_5mgkg_3_2101.3_F_L2_acA2040-120um__23701274__20230728_124240475DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
643,723,50,79,46,17,Group4_5mgkg,Female_Group4_5mgkg_3_2101.4F_L3_acA2040-120um__23701299__20230728_124329606DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
669,738,50,63,31,2,Group4_5mgkg,Female_Group4_5mgkg_3_2102.0F_L4_acA2040-120um__23670846__20230728_124434198DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
697,739,41,49,40,0,Group4_5mgkg,Female_Group4_5mgkg_3_2102.1_F_L1_acA2040-120um__23670847__20230728_131510960DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
741,793,41,55,13,2,Group4_5mgkg,Female_Group4_5mgkg_3_2102.2_F_L2_acA2040-120um__23701274__20230728_131927783DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
675,758,104,67,37,2,Group4_5mgkg,Female_Group4_5mgkg_3_2102.3F_L3_acA2040-120um__23701299__20230728_132007903DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
302,418,49,94,54,14,Group4_5mgkg,Female_Group4_5mgkg_3_2102.4F_L4_acA2040-120um__23670846__20230728_132125299DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
196,387,56,153,43,30,Group5_10mgkg,Female_Group5_10mgkg_3_2105.0F_L3_acA2040-120um__23701299__20230728_150925744DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
65,194,21,124,13,0,Group5_10mgkg,Female_Group5_10mgkg_3_2105.1F_L4_acA2040-120um__23670846__20230728_151037578DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
73,122,22,46,7,0,Group5_10mgkg,Female_Group5_10mgkg_3_2105.2_F_L1_acA2040-120um__23670847__20230728_154210957DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
181,340,71,83,57,16,Group5_10mgkg,Female_Group5_10mgkg_3_2105.3_F_L2_acA2040-120um__23701274__20230728_154532945DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
208,307,31,77,23,0,Group5_10mgkg,Female_Group5_10mgkg_3_2105.4F_L3_acA2040-120um__23701299__20230728_154608871DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
159,337,68,100,48,16,Group5_10mgkg,Female_Group5_10mgkg_3_2106.0F_L4_acA2040-120um__23670846__20230728_154724292DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
378,417,9,41,29,0,Group5_10mgkg,Female_Group5_10mgkg_3_2106.1_F_L1__acA2040-120um__23670847__20230728_163336257DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
374,508,84,123,27,3,Group5_10mgkg,Female_Group5_10mgkg_3_2106.2_F_L2_acA2040-120um__23701274__20230728_163724581DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
101,174,22,60,0,0,Group5_10mgkg,Female_Group5_10mgkg_3_2106.3_L3_acA2040-120um__23701299__20230728_163805321DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
600,681,88,163,34,1,Group5_10mgkg,Female_Group5_10mgkg_3_2106.4_L4_acA2040-120um__23670846__20230728_163906117DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
372,599,521,198,35,0,Group1_0mgkg,Male_Group1_0mgkg_3_2087.0M_L1_acA2040-120um__23670847__20230726_112217211DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
591,643,407,193,33,0,Group1_0mgkg,Male_Group1_0mgkg_3_2087.1M_L2_acA2040-120um__23701274__20230726_112603034DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
633,712,326,102,36,0,Group1_0mgkg,Male_Group1_0mgkg_3_2087.2M_L3_acA2040-120um__23701299__20230726_112705178DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
593,645,113,74,26,2,Group1_0mgkg,Male_Group1_0mgkg_3_2087.3M_L4_acA2040-120um__23670846__20230726_112846023DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
531,718,379,115,44,1,Group1_0mgkg,Male_Group1_0mgkg_3_2087.4M_L1_acA2040-120um__23670847__20230726_115819206DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
622,645,82,47,19,2,Group1_0mgkg,Male_Group1_0mgkg_3_2088.0M_L2_acA2040-120um__23701274__20230726_120231240DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
511,639,380,130,27,0,Group1_0mgkg,Male_Group1_0mgkg_3_2088.1M_L3_acA2040-120um__23701299__20230726_120404770DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
349,418,353,169,29,7,Group1_0mgkg,Male_Group1_0mgkg_3_2088.2M_L4_acA2040-120um__23670846__20230726_120540381DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
343,505,548,273,64,0,Group1_0mgkg,Male_Group1_0mgkg_3_2088.3M_L1_acA2040-120um__23670847__20230726_123615495DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
410,692,495,208,40,0,Group1_0mgkg,Male_Group1_0mgkg_3_2088.4M_L2_acA2040-120um__23701274__20230726_124045566DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
350,339,46,53,6,0,Group2_0.5mgkg,Male_Group2_0.5mgkg_3_2091.0_M_L1_acA2040-120um__23670847__20230727_105117744DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
637,732,99,74,42,8,Group2_0.5mgkg,Male_Group2_0.5mgkg_3_2091.1_M_L2_acA2040-120um__23701274__20230727_105505493DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
647,663,132,125,146,1,Group2_0.5mgkg,Male_Group2_0.5mgkg_3_2091.2M_L3_acA2040-120um__23701299__20230727_105630515DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
425,422,142,179,107,12,Group2_0.5mgkg,Male_Group2_0.5mgkg_3_2091.3M_L4_acA2040-120um__23670846__20230727_105806877DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
629,718,205,92,39,7,Group2_0.5mgkg,Male_Group2_0.5mgkg_3_2091.4_M_L1_acA2040-120um__23670847__20230727_112807739DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
411,637,474,215,54,2,Group2_0.5mgkg,Male_Group2_0.5mgkg_3_2092.0_M_L2_acA2040-120um__23701274__20230727_113152401DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
663,684,112,70,36,3,Group2_0.5mgkg,Male_Group2_0.5mgkg_3_2092.1M_L3_acA2040-120um__23701299__20230727_113245593DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
480,520,123,135,69,3,Group2_0.5mgkg,Male_Group2_0.5mgkg_3_2092.2M_L4_acA2040-120um__23670846__20230727_113406584DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
625,679,73,73,59,1,Group2_0.5mgkg,Male_Group2_0.5mgkg_3_2092.3_M_L1_acA2040-120um__23670847__20230727_120344244DLC_resnet50_LUPE_MALEDec5shuffle1_350000.csv
