mouse_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Combined_1Per Formalin_2107.0M_L1_acA2040-120um__23670847__20230707_131221586DLC_resnet50_LUPE_MALEDec5shuffle1_350000,540,803,2292,2167,1655,1357,1241,1375,1500,2165,1123,791,1219,750,1547,1051,1769,1986,1735,1727,2041,2063,1651,1625,2346,1843,2598,1907,1794,2634,2209,630
Combined_1Per Formalin_2107.1M_L2_acA2040-120um__23701274__20230707_131339359DLC_resnet50_LUPE_MALEDec5shuffle1_350000,384,918,402,1200,1193,823,1158,1451,1441,1859,1849,1805,1891,1434,462,515,955,1914,1728,1596,1097,1555,564,408,768,1421,1350,1380,1831,66,582,0
Combined_1Per Formalin_2107.2M_L3_acA2040-120um__23701299__20230707_130157080DLC_resnet50_LUPE_MALEDec5shuffle1_350000,288,546,1679,2064,1105,540,1565,1969,1452,1392,713,1663,1266,227,756,1632,769,594,852,1038,978,462,1104,846,1307,973,528,954,270,336,1296,186
Combined_1Per Formalin_2107.3M_L4_acA2040-120um__23670846__20230707_130523712DLC_resnet50_LUPE_MALEDec5shuffle1_350000,396,504,1062,1883,1566,1410,1056,1645,1740,1764,2165,1446,1489,1374,1254,1601,1483,1206,2171,1554,1698,1428,1405,834,491,1291,1542,1524,1302,1067,1873,282
Combined_1Per Formalin_2107.4M_L1_acA2040-120um__23670847__20230707_135124289DLC_resnet50_LUPE_MALEDec5shuffle1_350000,450,923,757,900,1164,630,462,1182,647,19,888,768,881,649,725,738,595,60,258,720,1002,1146,348,936,120,0,990,876,648,504,372,324
Combined_1Per Formalin_2108.0F_L2__acA2040-120um__23701274__20230707_135900313DLC_resnet50_LUPE_MALEDec5shuffle1_350000,204,618,612,750,1416,1403,331,1302,1883,847,822,1355,1818,1081,738,1619,1584,1555,1877,775,966,1236,876,570,1116,0,396,497,1057,1020,629,319
Combined_1Per Formalin_2108.1F_L3_acA2040-120um__23701299__20230707_134035525DLC_resnet50_LUPE_MALEDec5shuffle1_350000,162,414,396,959,1692,997,870,1013,871,870,780,804,881,1326,1189,1320,1044,1338,1170,959,1009,1122,995,1014,1357,474,564,929,1333,126,1007,319
Combined_1Per Formalin_2108.2F_L4_acA2040-120um__23670846__20230707_134352759DLC_resnet50_LUPE_MALEDec5shuffle1_350000,102,240,762,600,443,619,414,539,433,336,594,378,414,407,709,540,185,745,222,420,372,402,642,390,498,852,348,1170,102,437,457,191
Combined_1Per Formalin_2108.3F_L1_acA2040-120um__23670847__20230707_142905078DLC_resnet50_LUPE_MALEDec5shuffle1_350000,330,666,1277,1164,1086,1063,1710,756,666,552,732,971,661,906,966,402,755,1230,996,667,900,755,697,1164,1199,589,1877,1710,1291,846,774,6
Combined_1Per Formalin_2108.4F_L2_acA2040-120um__23701274__20230707_143648805DLC_resnet50_LUPE_MALEDec5shuffle1_350000,330,402,540,864,617,1189,864,1079,1153,1086,882,815,1098,985,623,1056,883,768,960,732,1320,533,1171,624,1362,510,1218,714,869,1135,935,259
