,still,walking,rearing,grooming,licking hindpaw L,licking hindpaw R
2109.0M_L3_acA2040-120um__23701299__20230707_141704742DLC_resnet50_LUPE_MALEDec5shuffle1_350000,611,636,216,127,89,
2109.1M_L4_acA2040-120um__23670846__20230707_142024103DLC_resnet50_LUPE_MALEDec5shuffle1_350000,494,546,247,179,27,4.0
2109.2M_L1_acA2040-120um__23670847__20230707_150543646DLC_resnet50_LUPE_MALEDec5shuffle1_350000,482,485,89,140,102,
2109.3M_L2_acA2040-120um__23701274__20230707_151536525DLC_resnet50_LUPE_MALEDec5shuffle1_350000,599,578,69,127,84,2.0
2109.4M_L3_acA2040-120um__23701299__20230707_145343367DLC_resnet50_LUPE_MALEDec5shuffle1_350000,569,659,252,62,46,
2110.0F_L4_acA2040-120um__23670846__20230707_145711766DLC_resnet50_LUPE_MALEDec5shuffle1_350000,553,708,339,256,51,1.0
2110.2F_L2_acA2040-120um__23670847__20230707_154525784DLC_resnet50_LUPE_MALEDec5shuffle1_350000,484,664,470,284,42,
2110.2F_L2_acA2040-120um__23701274__20230707_155051618DLC_resnet50_LUPE_MALEDec5shuffle1_350000,789,844,78,75,32,
2110.3F_L3_acA2040-120um__23701299__20230707_153027052DLC_resnet50_LUPE_MALEDec5shuffle1_350000,612,618,85,116,77,7.0
2110.4F_L4_acA2040-120um__23670846__20230707_153354739DLC_resnet50_LUPE_MALEDec5shuffle1_350000,671,704,243,180,99,4.0
